step,avg_return
0,-1162.450953943689
50000,-220.36650668347934
100000,-561.0476019747139
150000,-311.2406894462898
200000,-257.6014450599001
250000,-222.70038852871699
300000,-209.69903514221355
350000,-244.03485575013465
400000,-197.8141914628206
450000,-343.36217422561117
500000,-220.57415392865715
