step,avg_return
0,-1162.450953943689
50000,-1064.0156536999643
100000,-311.2588148505631
150000,-315.08637287891577
200000,-263.09560409275707
250000,-221.44724268547512
300000,-211.81139516796742
350000,-246.51887126692105
400000,-197.94901594285798
450000,-342.5239278322866
500000,-207.57245323861653
