algorithm,Rank,final_reward,runtime,stability,sample_efficiency,overall_score
PPG,1,-129.52084931703143,315.72867840000004,80.42870767614824,0.0014970460670747751,0.6878439529123986
PPO,2,-315.30602243800655,237.18953063333333,86.8566760007605,0.0014880952380952335,0.6861607919112618
PG,3,-671.3214268162019,202.19101480000003,95.49386808118639,0.0,0.6290751241838977
A2C,4,-645.9596076399195,260.9802241,93.91359695584624,0.0,0.6124966979620454
TD3,5,-236.78273862912872,801.0363684,59.67719004090855,0.0714285714285714,0.5199584393164486
SAC,6,-607.7932304738262,948.4722488,68.12091522729798,0.10416666666666666,0.46293174238914725
DDPG,7,-1397.4476950372664,769.2409266,92.2526789456366,0.125,0.4299328094352707
