step,avg_return
0,-200.0
49984,-200.0
99968,-200.0
149952,-200.0
199936,-200.0
249920,-200.0
299904,-200.0
349888,-200.0
399872,-200.0
449856,-200.0
499840,-200.0
549824,-200.0
599808,-200.0
649792,-200.0
699776,-200.0
749760,-200.0
799744,-200.0
849728,-200.0
899712,-200.0
949696,-200.0
999680,-200.0
1049664,-200.0
1099648,-200.0
1149632,-200.0
1199616,-200.0
1249600,-200.0
1299584,-200.0
1349568,-200.0
1399552,-200.0
1449536,-200.0
1499520,-200.0
1549504,-200.0
1599488,-200.0
1649472,-200.0
1699456,-200.0
1749440,-200.0
1799424,-200.0
1849408,-200.0
1899392,-200.0
1949376,-200.0
1999360,-200.0
2049344,-200.0
2099328,-200.0
2149312,-200.0
2199296,-200.0
2249280,-200.0
2299264,-200.0
2349248,-200.0
2399232,-200.0
2449216,-200.0
2499200,-200.0
2549184,-200.0
2599168,-200.0
2649152,-200.0
2699136,-200.0
2749120,-200.0
2799104,-200.0
2849088,-200.0
2899072,-200.0
2949056,-200.0
2999040,-200.0
3049024,-200.0
3099008,-200.0
3148992,-200.0
3198976,-200.0
3248960,-200.0
3298944,-200.0
3348928,-200.0
3398912,-200.0
3448896,-200.0
3498880,-200.0
3548864,-200.0
3598848,-200.0
3648832,-200.0
3698816,-200.0
3748800,-200.0
3798784,-200.0
3848768,-200.0
3898752,-200.0
3948736,-200.0
3998720,-200.0
4048704,-200.0
4098688,-200.0
4148672,-200.0
4198656,-200.0
4248640,-200.0
4298624,-200.0
4348608,-200.0
4398592,-200.0
4448576,-200.0
4498560,-200.0
4548544,-200.0
4598528,-200.0
4648512,-200.0
4698496,-200.0
4748480,-200.0
4798464,-200.0
4848448,-200.0
4898432,-200.0
4948416,-200.0
4998400,-200.0
